Item ID,Created Time,Last Modified Time,Item Name,Item Name(Secondary Language),Sales Description,Selling Price,Sales Account,Is Returnable Item,Brand,Manufacturer,Package Weight,Package Length,Package Width,Package Height,Dimension Unit,Weight Unit,Is Receivable Service,Tax Name,Tax Percentage,Tax Type,Taxable,Exemption Reason,Product Type,Source,Reference ID,Last Sync Time,Status,Unit,Unit Name,Default Sales Unit Name,Default Sales Unit Symbol,Default Purchase Unit Name,Default Purchase Unit Symbol,SKU,UPC,EAN,ISBN,Part Number,Purchase Price,Purchase Account,Purchase Description,Inventory Account,Inventory Valuation Method,Reorder Level,Preferred Vendor,Warehouse Name,Opening Stock,Opening Stock Value,Stock On Hand,Is Combo Product,Enable Bin Tracking,Item Type,Sellable,Purchasable,Track Inventory,CF.CATEGORY
9465000000063431,2024-07-31 16:40:33,2025-07-31 04:05:06,SALT 50KG*,ملح 50 كجم,,SAR 20.00,Sales,true,,,0,0,0,0,cm,kg,,Standard Rate,15.000000,ItemAmount,true,,goods,2,,,Active,CTN,CTN,CTN,CTN,CTN,CTN,,,,,,SAR 19.00,Cost of Goods Sold,,Inventory Asset,fifo,,,,,,2,false,false,Inventory,true,true,true,NON FLPN
9465000000063446,2024-07-31 16:40:33,2025-07-31 04:30:55,TUNA AL MAWASEM 6X1800,تونا المواسم.,,SAR 210.00,Sales,true,,,0.0000,0.0000,0.0000,0.0000,cm,kg,,Standard Rate,15.000000,ItemAmount,true,,goods,2,,,Active,C6P,C6P,C6P,C6P,C6P,C6P,,,,,,SAR 242.00,Cost of Goods Sold,,Inventory Asset,fifo,,,,,,-12.5000,false,false,Inventory,true,true,true,NON FLPN
9465000000063461,2024-07-31 16:40:33,2024-10-29 10:29:46,CATERPILLAR CANDY 12X14X30GM,,,SAR 65.00,Sales,true,,,0.0000,0.0000,0.0000,0.0000,,,,Standard Rate,15.000000,ItemAmount,true,,goods,2,,,Active,C12P,C12P,C12P,C12P,C12P,C12P,,,,,,SAR 54.00,Cost of Goods Sold,,Inventory Asset,fifo,,,,,,0.0000,false,false,Inventory,true,true,true,
9465000000063476,2024-07-31 16:40:33,2025-06-29 16:19:19,100 BALL GUM 12X80PCS,١٠٠ مضغة كرة غم,,SAR 83.00,Sales,true,,,0.0000,0.0000,0.0000,0.0000,cm,kg,,Standard Rate,15.000000,ItemAmount,true,,goods,2,,,Active,C12P,C12P,C12P,C12P,C12P,C12P,,,,,,SAR 66.00,Cost of Goods Sold,,Inventory Asset,fifo,,,,,,-1.0000,false,false,Inventory,true,true,true,
9465000000063491,2024-07-31 16:40:33,2025-01-20 13:52:12,1000 SADIA CHICKEN,,,SAR 143.00,Sales,true,,,0,0,0,0,,,,Standard Rate,15.000000,ItemAmount,true,,goods,2,,,Active,CTN,CTN,CTN,CTN,CTN,CTN,,,,,,SAR 0.00,Cost of Goods Sold,,Inventory Asset,fifo,,,,,,0,false,false,Inventory,true,true,true,
9465000000063506,2024-07-31 16:40:34,2025-07-23 07:50:20,505 SARDINE (HOT) 50X155GM,,,SAR 103.00,Sales,true,,,0.0000,0.0000,0.0000,0.0000,cm,kg,,Standard Rate,15.000000,ItemAmount,true,,goods,2,,,Active,C50P,C50P,C50P,C50P,C50P,C50P,,,,,,SAR 82.00,Cost of Goods Sold,,Inventory Asset,fifo,,,,,,9.4000,false,false,Inventory,true,true,true,
9465000000063521,2024-07-31 16:40:34,2025-07-16 09:20:38,505 SARDINE REG 50X155GM,,,SAR 103.00,Sales,true,,,0.0000,0.0000,0.0000,0.0000,cm,kg,,Standard Rate,15.000000,ItemAmount,true,,goods,2,,,Active,C50P,C50P,C50P,C50P,C50P,C50P,,,,,,SAR 82.00,Cost of Goods Sold,,Inventory Asset,fifo,,,,,,0.7400,false,false,Inventory,true,true,true,
9465000000063536,2024-07-31 16:40:34,2024-10-21 10:30:28,555 FRIED SARDIN ESCABECHE 100X155GM,,,SAR 473.00,Sales,true,,,0.00,0.00,0.00,0.00,,,,Standard Rate,15.000000,ItemAmount,true,,goods,2,,,Active,C100P,C100P,C100P,C100P,C100P,C100P,,,,,,SAR 450.00,Cost of Goods Sold,,Inventory Asset,fifo,,,,,,0.00,false,false,Inventory,true,true,true,
9465000000063551,2024-07-31 16:40:34,2025-07-16 17:28:02,555 HOT FRIED SARDINES 100X155GM,,,SAR 485.00,Sales,true,,,0.00,0.00,0.00,0.00,,,,Standard Rate,15.000000,ItemAmount,true,,goods,2,,,Active,C100P,C100P,C100P,C100P,C100P,C100P,,,,,,SAR 430.00,Cost of Goods Sold,,Inventory Asset,fifo,,,,,,0.02,false,false,Inventory,true,true,true,
9465000000063566,2024-07-31 16:40:34,2025-07-31 04:01:07,555 SARDINES GREEN 50X155GM,,,SAR 115.00,Sales,true,,,0.0000,0.0000,0.0000,0.0000,cm,kg,,Standard Rate,15.000000,ItemAmount,true,,goods,2,,,Active,C50P,C50P,C50P,C50P,C50P,C50P,,,,,,SAR 105.00,Cost of Goods Sold,,Inventory Asset,fifo,,,,,,8.9400,false,false,Inventory,true,true,true,
